Date,Time,date_time,air_temp,relative_humidity,wind_speed,wind_direction,wind_gust,solar_radiation,fuel_temp,fuel_moisture,volt
12/31/24,16:53,2024-12-31 16:53:00,49,36,17,54,26,82,48,6.6,13.2
12/31/24,17:53,2024-12-31 17:53:00,48,35,19,53,27,1,48,6.7,13
12/31/24,18:53,2024-12-31 18:53:00,48,35,20,59,28,0,48,6.7,13
12/31/24,19:53,2024-12-31 19:53:00,49,34,21,50,27,0,48,6.8,12.9
12/31/24,20:53,2024-12-31 20:53:00,48,35,14.01,48,23,0,48,6.9,12.9
12/31/24,21:53,2024-12-31 21:53:00,48,35,14.01,48,21,0,47,7,12.9
12/31/24,22:53,2024-12-31 22:53:00,48,33,14.01,46,20,0,47,7.1,12.9
12/31/24,23:53,2024-12-31 23:53:00,48,32,13,29,20,0,48,7.1,12.8
01/01/25,00:53,2025-01-01 00:53:00,49,31,12,38,20,0,48,7.2,12.8
01/01/25,01:53,2025-01-01 01:53:00,48,31,9,24,17,0,47,7.2,12.8
01/01/25,02:53,2025-01-01 02:53:00,49,28,7,350,13,0,47,7.2,12.8
01/01/25,03:53,2025-01-01 03:53:00,54,12,5,339,13,0,50,7.4,12.8
01/01/25,04:53,2025-01-01 04:53:00,52,19,7,360,11,0,50,7,12.8
01/01/25,05:53,2025-01-01 05:53:00,57,12,7,333,13,0,53,7,12.7
01/01/25,06:53,2025-01-01 06:53:00,56,15,2,65,9,0,51,6.8,12.7
01/01/25,07:53,2025-01-01 07:53:00,55,20,5,348,9,52,55,6.8,13.9
01/01/25,08:53,2025-01-01 08:53:00,48,34,9,353,12,212,53,6.7,14.2
01/01/25,09:53,2025-01-01 09:53:00,52,31,12,44,17,363,59,6.6,14.1
01/01/25,10:53,2025-01-01 10:53:00,55,28,11,23,17,510,64,6.6,13.7
01/01/25,11:53,2025-01-01 11:53:00,57,26,12,35,18,594,66,6.4,14.3
01/01/25,12:53,2025-01-01 12:53:00,59,24,8,34,19,593,64,6.5,13.6
01/01/25,13:53,2025-01-01 13:53:00,60,23,5.99,20,12,526,69,6.4,14
01/01/25,14:53,2025-01-01 14:53:00,60,22,5,38,9,415,68,6.1,13.5
01/01/25,15:53,2025-01-01 15:53:00,65,19,0,,9,259,68,5.7,13.6
01/01/25,16:53,2025-01-01 16:53:00,59,22,5,340,5.99,79,57,5.8,13.2
01/01/25,17:53,2025-01-01 17:53:00,58,23,4,346,7,2,54,5.8,13
01/01/25,18:53,2025-01-01 18:53:00,59,21,4,51,7,0,54,5.7,12.9
01/01/25,19:53,2025-01-01 19:53:00,58,22,3,244,5,0,52,5.8,12.9
01/01/25,20:53,2025-01-01 20:53:00,58,19,4,231,5,0,52,5.9,12.9
01/01/25,21:53,2025-01-01 21:53:00,60,16,7,276,8,0,54,5.9,12.9
01/01/25,22:53,2025-01-01 22:53:00,60,18,5,291,10,0,55,6,12.9
01/01/25,23:53,2025-01-01 23:53:00,59,18,5.99,288,9,0,56,6,12.9
01/02/25,00:53,2025-01-02 00:53:00,58,18,7,294,10,0,55,6,12.9
01/02/25,01:53,2025-01-02 01:53:00,58,18,5.99,325,10,0,55,5.9,12.9
01/02/25,02:53,2025-01-02 02:53:00,58,17,8,329,10,0,55,5.9,12.8
01/02/25,03:53,2025-01-02 03:53:00,51,25,9,350,14.01,0,50,5.7,12.8
01/02/25,04:53,2025-01-02 04:53:00,52,24,4,352,13,0,49,5.8,12.8
01/02/25,05:53,2025-01-02 05:53:00,49,27,7,357,12,0,48,5.7,12.8
01/02/25,06:53,2025-01-02 06:53:00,47,30,11,25,17,0,47,5.8,12.7
01/02/25,07:53,2025-01-02 07:53:00,50,28,21,45,29,47,51,6,14.4
01/02/25,08:53,2025-01-02 08:53:00,52,26,23,52,34.01,217,56,6,13.7
01/02/25,09:53,2025-01-02 09:53:00,54,25,23,47,30,376,60,6,14
01/02/25,10:53,2025-01-02 10:53:00,56,23,22,48,31,509,63,6,14.1
01/02/25,11:53,2025-01-02 11:53:00,57,22,19,46,30,581,65,5.9,13.9
01/02/25,12:53,2025-01-02 12:53:00,58,21,17,45,27,589,61,5.8,13.6
01/02/25,13:53,2025-01-02 13:53:00,58,21,18,46,24,535,64,5.6,13.7
01/02/25,14:53,2025-01-02 14:53:00,56,21,16,47,25,422,62,5.5,13.6
01/02/25,15:53,2025-01-02 15:53:00,56,21,14.99,42,22,266,59,5.3,13.8
01/02/25,16:53,2025-01-02 16:53:00,54,22,13,34,22,86,54,5.3,13.2
01/02/25,17:53,2025-01-02 17:53:00,53,23,17,36,23,1,53,5.3,13
01/02/25,18:53,2025-01-02 18:53:00,53,23,17,37,25,0,53,5.4,12.9
01/02/25,19:53,2025-01-02 19:53:00,53,23,19,41,26,0,53,5.4,12.9
01/02/25,20:53,2025-01-02 20:53:00,53,23,18,38,25,0,53,5.5,12.9
01/02/25,21:53,2025-01-02 21:53:00,53,23,16,39,25,0,53,5.5,12.9
01/02/25,22:53,2025-01-02 22:53:00,54,22,9,17,21,0,53,5.5,12.9
01/02/25,23:53,2025-01-02 23:53:00,53,23,7,359,14.99,0,52,5.5,12.9
01/03/25,00:53,2025-01-03 00:53:00,55,21,4,61,9,0,52,5.7,12.9
